Clase,Pieza,Superficie_1,Superficie_2,Superficie_3,Superficie_4,Superficie_5,Tamanio_cavidad_mm,Estado_cavidad,Tecnica,Tipo_resina,Indice_contraccion_%,Peso_resina_inicial_mg,Peso_sobrante_mg,Margen_cavo_mm,Ajuste_margen
II,15,Mesial,Distal,Oclusal,Bucal,ninguna,89.25,con_tejido,Estratificacion,Compuesta,3.25,817.0,39.6,-0.18,Subobturado
III,23,Distal,Lingual,ninguna,ninguna,ninguna,9.0,con_tejido,Estratificacion,Compuesta,2.25,84.5,14.57,0.17,Sobreobturado
II,1,Mesial,Oclusal,ninguna,ninguna,ninguna,45.25,con_tejido,Bulk,Fluida,3.0,219.26,29.96,-0.11,Subobturado
II,30,Mesial,Distal,Oclusal,Lingual,ninguna,109.5,limpia,Estratificacion,Compuesta,1.75,778.0,122.71,0.12,Sobreobturado
V,16,Lingual,ninguna,ninguna,ninguna,ninguna,9.0,con_tejido,Estratificacion,Compuesta,2.75,179.38,9.28,0.08,Equiobturado
II,12,Distal,Oclusal,Bucal,ninguna,ninguna,27.25,con_tejido,Bulk,Compuesta,3.5,230.64,36.42,0.19,Sobreobturado
V,27,Bucal,ninguna,ninguna,ninguna,ninguna,7.0,limpia,Bulk,Bulk,3.75,228.12,26.9,0.15,Sobreobturado
II,17,Distal,Oclusal,ninguna,ninguna,ninguna,48.0,limpia,Bulk,Compuesta,2.0,196.5,22.54,0.03,Equiobturado
II,5,Mesial,Distal,Oclusal,ninguna,ninguna,40.5,limpia,Bulk,Con fibra de vidrio,3.5,308.02,53.16,0.0,Equiobturado
I,11,Bucal,ninguna,ninguna,ninguna,ninguna,5.5,con_tejido,Estratificacion,Bulk,3.25,165.0,29.26,0.17,Sobreobturado
I,5,Oclusal,ninguna,ninguna,ninguna,ninguna,9.75,limpia,Estratificacion,Compuesta,1.75,128.5,12.6,0.12,Sobreobturado
I,20,Oclusal,ninguna,ninguna,ninguna,ninguna,12.0,con_tejido,Bulk,Compuesta,1.25,126.25,17.82,0.06,Equiobturado
IV,25,Mesial,Bucal,Lingual,ninguna,ninguna,29.5,con_tejido,Bulk,Bulk,4.0,330.69,20.54,-0.07,Subobturado
II,15,Distal,Oclusal,ninguna,ninguna,ninguna,56.75,con_tejido,Estratificacion,Fluida,1.75,272.75,33.71,-0.09,Subobturado
I,22,Bucal,ninguna,ninguna,ninguna,ninguna,4.75,con_tejido,Estratificacion,Compuesta,3.75,169.38,10.01,0.01,Equiobturado
II,30,Mesial,Distal,Oclusal,Lingual,ninguna,96.0,con_tejido,Estratificacion,Fluida,2.5,784.0,49.71,0.18,Sobreobturado
II,2,Mesial,Distal,Oclusal,Lingual,ninguna,108.0,limpia,Estratificacion,Con fibra de vidrio,2.0,792.0,132.97,0.17,Sobreobturado
V,6,Lingual,ninguna,ninguna,ninguna,ninguna,5.25,limpia,Bulk,Fluida,3.5,197.66,27.47,0.02,Equiobturado
I,5,Lingual,ninguna,ninguna,ninguna,ninguna,3.25,limpia,Bulk,Bulk,2.25,92.5,6.74,-0.11,Subobturado
II,2,Mesial,Oclusal,Bucal,ninguna,ninguna,47.0,con_tejido,Estratificacion,Compuesta,1.0,274.5,31.55,0.1,Equiobturado
II,31,Distal,Oclusal,Bucal,ninguna,ninguna,47.5,con_tejido,Estratificacion,Con fibra de vidrio,1.75,328.75,26.27,0.16,Sobreobturado
I,16,Lingual,ninguna,ninguna,ninguna,ninguna,5.5,con_tejido,Estratificacion,Compuesta,2.75,147.5,23.33,-0.19,Subobturado
III,11,Distal,Lingual,ninguna,ninguna,ninguna,8.25,con_tejido,Bulk,Compuesta,2.75,94.81,15.08,-0.05,Subobturado
I,16,Lingual,ninguna,ninguna,ninguna,ninguna,2.0,limpia,Estratificacion,Compuesta,3.0,95.0,6.39,0.01,Equiobturado
I,29,Oclusal,ninguna,ninguna,ninguna,ninguna,11.0,con_tejido,Bulk,Fluida,1.0,106.0,3.21,-0.11,Subobturado
I,12,Oclusal,ninguna,ninguna,ninguna,ninguna,2.0,limpia,Bulk,Bulk,3.0,115.0,9.95,0.05,Equiobturado
III,10,Distal,Lingual,ninguna,ninguna,ninguna,12.75,con_tejido,Estratificacion,Bulk,2.0,107.19,4.8,-0.19,Subobturado
II,18,Distal,Oclusal,Bucal,ninguna,ninguna,67.0,con_tejido,Estratificacion,Fluida,3.75,537.0,54.07,0.19,Sobreobturado
I,28,Oclusal,ninguna,ninguna,ninguna,ninguna,9.5,con_tejido,Bulk,Con fibra de vidrio,3.0,182.5,21.33,-0.18,Subobturado
I,27,Lingual,ninguna,ninguna,ninguna,ninguna,2.75,limpia,Estratificacion,Con fibra de vidrio,1.5,55.62,5.63,-0.11,Subobturado
II,20,Mesial,Distal,Oclusal,ninguna,ninguna,38.25,limpia,Bulk,Bulk,2.5,221.88,8.79,-0.1,Subobturado
II,30,Mesial,Distal,Oclusal,Bucal,Lingual,133.5,limpia,Estratificacion,Compuesta,2.25,1096.11,171.59,0.17,Sobreobturado
VI,9,Incisal,ninguna,ninguna,ninguna,ninguna,6.25,con_tejido,Bulk,Con fibra de vidrio,3.75,196.58,11.66,0.11,Sobreobturado
IV,27,Mesial,Bucal,Lingual,ninguna,ninguna,22.0,con_tejido,Estratificacion,Fluida,2.5,198.83,35.66,0.18,Sobreobturado
I,14,Oclusal,ninguna,ninguna,ninguna,ninguna,7.25,con_tejido,Estratificacion,Fluida,1.5,118.75,3.86,0.05,Equiobturado
V,12,Lingual,ninguna,ninguna,ninguna,ninguna,17.25,limpia,Estratificacion,Con fibra de vidrio,4.0,327.66,20.7,-0.11,Subobturado
I,28,Oclusal,ninguna,ninguna,ninguna,ninguna,7.75,limpia,Estratificacion,Bulk,2.25,133.0,15.97,0.03,Equiobturado
VI,23,Incisal,ninguna,ninguna,ninguna,ninguna,18.0,con_tejido,Bulk,Fluida,2.75,197.77,16.44,-0.07,Subobturado
I,25,Oclusal,ninguna,ninguna,ninguna,ninguna,2.75,con_tejido,Bulk,Compuesta,3.0,108.12,7.22,0.17,Sobreobturado
II,29,Mesial,Oclusal,ninguna,ninguna,ninguna,33.0,limpia,Bulk,Compuesta,4.0,160.4,14.02,-0.06,Subobturado
II,12,Mesial,Oclusal,ninguna,ninguna,ninguna,30.0,limpia,Bulk,Compuesta,3.25,125.75,14.54,-0.14,Subobturado
II,17,Mesial,Oclusal,ninguna,ninguna,ninguna,35.0,limpia,Bulk,Fluida,3.0,187.08,20.47,0.14,Sobreobturado
IV,25,Distal,Bucal,Lingual,ninguna,ninguna,43.0,limpia,Bulk,Fluida,1.0,163.33,11.48,-0.1,Subobturado
I,23,Lingual,ninguna,ninguna,ninguna,ninguna,3.0,con_tejido,Estratificacion,Compuesta,1.75,68.75,8.31,0.16,Sobreobturado
III,9,Distal,Lingual,ninguna,ninguna,ninguna,11.25,con_tejido,Bulk,Fluida,3.75,152.56,22.53,0.1,Equiobturado
II,19,Mesial,Oclusal,ninguna,ninguna,ninguna,58.5,con_tejido,Bulk,Bulk,1.75,278.0,16.98,0.01,Equiobturado
I,7,Lingual,ninguna,ninguna,ninguna,ninguna,3.0,limpia,Bulk,Fluida,2.5,95.0,15.66,0.0,Equiobturado
IV,25,Distal,Bucal,Lingual,ninguna,ninguna,8.75,limpia,Bulk,Con fibra de vidrio,1.25,65.29,8.29,0.07,Equiobturado
I,12,Lingual,ninguna,ninguna,ninguna,ninguna,3.75,limpia,Estratificacion,Con fibra de vidrio,3.75,164.5,14.09,0.08,Equiobturado
II,4,Mesial,Oclusal,ninguna,ninguna,ninguna,39.75,con_tejido,Bulk,Fluida,2.5,133.18,10.04,-0.1,Subobturado
I,29,Oclusal,ninguna,ninguna,ninguna,ninguna,5.75,limpia,Estratificacion,Bulk,2.0,103.75,6.45,-0.13,Subobturado
IV,26,Distal,Bucal,Lingual,ninguna,ninguna,23.5,con_tejido,Bulk,Con fibra de vidrio,1.5,132.9,18.93,0.11,Sobreobturado
II,28,Distal,Oclusal,Bucal,ninguna,ninguna,40.75,limpia,Bulk,Compuesta,2.0,199.98,19.46,0.2,Sobreobturado
II,15,Mesial,Distal,Oclusal,ninguna,ninguna,50.75,limpia,Bulk,Compuesta,2.25,375.12,14.25,0.06,Equiobturado
II,17,Mesial,Oclusal,ninguna,ninguna,ninguna,51.75,con_tejido,Bulk,Compuesta,3.25,247.53,17.07,0.13,Sobreobturado
II,30,Mesial,Distal,Oclusal,Lingual,ninguna,112.25,limpia,Estratificacion,Con fibra de vidrio,3.0,889.0,52.14,0.12,Sobreobturado
II,31,Mesial,Distal,Oclusal,Bucal,ninguna,108.75,limpia,Estratificacion,Fluida,1.5,755.0,36.22,0.08,Equiobturado
I,26,Lingual,ninguna,ninguna,ninguna,ninguna,4.75,limpia,Bulk,Compuesta,2.75,134.38,4.46,0.03,Equiobturado
II,19,Distal,Oclusal,ninguna,ninguna,ninguna,46.5,limpia,Estratificacion,Compuesta,2.5,264.5,42.33,0.07,Equiobturado
II,2,Mesial,Distal,Oclusal,Bucal,Lingual,104.25,con_tejido,Bulk,Con fibra de vidrio,1.0,841.11,143.01,-0.15,Subobturado
II,31,Distal,Oclusal,ninguna,ninguna,ninguna,53.5,con_tejido,Estratificacion,Con fibra de vidrio,3.0,300.5,24.58,0.19,Sobreobturado
V,19,Bucal,ninguna,ninguna,ninguna,ninguna,41.0,con_tejido,Estratificacion,Con fibra de vidrio,3.75,371.07,37.08,-0.01,Subobturado
IV,7,Mesial,Bucal,Lingual,ninguna,ninguna,13.5,con_tejido,Estratificacion,Con fibra de vidrio,3.75,258.85,11.64,-0.08,Subobturado
II,15,Mesial,Oclusal,Bucal,ninguna,ninguna,65.5,con_tejido,Estratificacion,Compuesta,2.5,444.25,73.21,0.15,Sobreobturado
I,29,Oclusal,ninguna,ninguna,ninguna,ninguna,10.5,con_tejido,Bulk,Con fibra de vidrio,3.0,191.5,28.61,0.13,Sobreobturado
II,19,Mesial,Distal,Oclusal,Bucal,Lingual,101.75,con_tejido,Bulk,Fluida,2.0,930.0,136.68,0.07,Equiobturado
II,16,Mesial,Oclusal,ninguna,ninguna,ninguna,36.75,con_tejido,Estratificacion,Compuesta,2.25,169.03,10.49,0.18,Sobreobturado
II,30,Mesial,Oclusal,Lingual,ninguna,ninguna,49.5,con_tejido,Bulk,Compuesta,2.75,405.75,18.85,0.18,Sobreobturado
IV,26,Mesial,Bucal,Lingual,ninguna,ninguna,36.0,limpia,Estratificacion,Con fibra de vidrio,1.5,175.17,30.28,0.13,Sobreobturado
II,15,Mesial,Oclusal,Bucal,ninguna,ninguna,44.0,limpia,Bulk,Con fibra de vidrio,2.5,369.0,63.7,0.11,Sobreobturado
I,25,Oclusal,ninguna,ninguna,ninguna,ninguna,3.0,limpia,Estratificacion,Compuesta,1.75,68.75,4.24,0.19,Sobreobturado
II,3,Distal,Oclusal,ninguna,ninguna,ninguna,51.5,con_tejido,Bulk,Con fibra de vidrio,1.75,257.0,26.86,-0.07,Subobturado
V,16,Bucal,ninguna,ninguna,ninguna,ninguna,9.25,limpia,Estratificacion,Bulk,3.75,246.41,39.52,0.15,Sobreobturado
II,14,Mesial,Distal,Oclusal,ninguna,ninguna,54.25,con_tejido,Estratificacion,Fluida,3.75,492.38,30.23,0.01,Equiobturado
II,16,Mesial,Oclusal,Lingual,ninguna,ninguna,56.75,limpia,Estratificacion,Compuesta,2.75,373.93,40.69,0.15,Sobreobturado
II,30,Distal,Oclusal,ninguna,ninguna,ninguna,52.0,con_tejido,Estratificacion,Compuesta,4.0,326.0,15.07,0.17,Sobreobturado
II,5,Mesial,Oclusal,Lingual,ninguna,ninguna,47.25,con_tejido,Bulk,Fluida,1.75,219.69,14.41,0.18,Sobreobturado
I,24,Lingual,ninguna,ninguna,ninguna,ninguna,5.0,limpia,Bulk,Fluida,2.0,112.5,5.3,-0.09,Subobturado
II,2,Mesial,Oclusal,Bucal,ninguna,ninguna,44.5,limpia,Estratificacion,Compuesta,2.0,335.75,47.05,-0.09,Subobturado
II,20,Distal,Oclusal,Lingual,ninguna,ninguna,32.0,limpia,Estratificacion,Bulk,2.0,148.88,20.43,0.01,Equiobturado
II,17,Mesial,Oclusal,Lingual,ninguna,ninguna,54.25,con_tejido,Estratificacion,Bulk,3.5,416.33,55.91,-0.08,Subobturado
II,12,Mesial,Oclusal,Lingual,ninguna,ninguna,32.25,con_tejido,Bulk,Bulk,3.0,223.34,9.84,0.06,Equiobturado
IV,26,Distal,Bucal,Lingual,ninguna,ninguna,24.0,con_tejido,Estratificacion,Bulk,3.25,258.85,27.04,0.17,Sobreobturado
VI,9,Incisal,ninguna,ninguna,ninguna,ninguna,6.5,limpia,Estratificacion,Fluida,2.25,115.27,7.02,0.02,Equiobturado
V,11,Lingual,ninguna,ninguna,ninguna,ninguna,12.25,limpia,Estratificacion,Fluida,3.5,254.53,31.44,-0.13,Subobturado
V,14,Bucal,ninguna,ninguna,ninguna,ninguna,42.25,limpia,Bulk,Bulk,3.25,332.37,39.58,-0.04,Subobturado
VI,9,Incisal,ninguna,ninguna,ninguna,ninguna,14.75,limpia,Estratificacion,Compuesta,1.75,127.23,22.25,-0.14,Subobturado
II,3,Mesial,Distal,Oclusal,Lingual,ninguna,116.25,limpia,Bulk,Fluida,3.75,965.0,40.3,-0.13,Subobturado
II,28,Distal,Oclusal,ninguna,ninguna,ninguna,26.75,limpia,Bulk,Bulk,3.0,106.77,18.58,0.07,Equiobturado
II,32,Distal,Oclusal,ninguna,ninguna,ninguna,49.75,limpia,Bulk,Bulk,3.0,233.39,41.25,-0.19,Subobturado
II,3,Mesial,Distal,Oclusal,Lingual,ninguna,106.0,limpia,Bulk,Bulk,3.0,864.0,42.52,0.12,Sobreobturado
II,15,Distal,Oclusal,Bucal,ninguna,ninguna,76.0,limpia,Estratificacion,Bulk,3.75,568.5,75.32,0.07,Equiobturado
II,29,Distal,Oclusal,ninguna,ninguna,ninguna,43.25,con_tejido,Bulk,Compuesta,1.25,103.47,7.95,0.03,Equiobturado
IV,27,Mesial,Bucal,Lingual,ninguna,ninguna,29.75,limpia,Estratificacion,Compuesta,2.75,242.79,35.15,0.02,Equiobturado
V,6,Lingual,ninguna,ninguna,ninguna,ninguna,17.25,con_tejido,Bulk,Fluida,1.5,165.16,19.5,0.09,Equiobturado
V,26,Bucal,ninguna,ninguna,ninguna,ninguna,15.0,limpia,Bulk,Fluida,2.5,211.87,8.0,0.08,Equiobturado
II,31,Mesial,Distal,Oclusal,ninguna,ninguna,71.5,limpia,Bulk,Bulk,1.75,412.75,13.4,0.12,Sobreobturado
II,5,Distal,Oclusal,Bucal,ninguna,ninguna,26.0,limpia,Estratificacion,Fluida,3.75,241.59,11.5,0.09,Equiobturado
II,17,Distal,Oclusal,Lingual,ninguna,ninguna,57.25,con_tejido,Bulk,Compuesta,1.25,269.07,13.55,0.06,Equiobturado
II,31,Distal,Oclusal,ninguna,ninguna,ninguna,52.5,limpia,Bulk,Fluida,1.5,252.5,15.04,0.09,Equiobturado
I,6,Bucal,ninguna,ninguna,ninguna,ninguna,2.0,con_tejido,Estratificacion,Compuesta,2.25,68.75,4.92,0.14,Sobreobturado
I,5,Oclusal,ninguna,ninguna,ninguna,ninguna,8.75,limpia,Bulk,Bulk,3.5,198.25,22.4,0.13,Sobreobturado
III,25,Mesial,Lingual,ninguna,ninguna,ninguna,10.25,con_tejido,Bulk,Compuesta,3.25,127.81,11.22,0.04,Equiobturado
V,11,Bucal,ninguna,ninguna,ninguna,ninguna,4.25,limpia,Bulk,Bulk,3.75,205.78,19.57,0.08,Equiobturado
II,2,Mesial,Distal,Oclusal,Bucal,Lingual,116.75,limpia,Estratificacion,Fluida,1.75,971.67,169.15,-0.19,Subobturado
V,32,Bucal,ninguna,ninguna,ninguna,ninguna,8.0,limpia,Estratificacion,Compuesta,3.75,236.25,21.11,0.07,Equiobturado
III,8,Distal,Lingual,ninguna,ninguna,ninguna,12.5,con_tejido,Estratificacion,Bulk,1.0,72.12,9.52,0.14,Sobreobturado
IV,11,Distal,Bucal,Lingual,ninguna,ninguna,42.25,con_tejido,Bulk,Bulk,3.75,356.05,46.69,-0.15,Subobturado
V,12,Lingual,ninguna,ninguna,ninguna,ninguna,7.0,con_tejido,Estratificacion,Bulk,2.75,163.13,21.21,0.16,Sobreobturado
II,15,Mesial,Distal,Oclusal,ninguna,ninguna,75.5,limpia,Estratificacion,Fluida,3.25,531.75,77.12,-0.18,Subobturado
I,27,Bucal,ninguna,ninguna,ninguna,ninguna,3.75,con_tejido,Estratificacion,Con fibra de vidrio,4.0,160.62,25.75,0.13,Sobreobturado
I,31,Lingual,ninguna,ninguna,ninguna,ninguna,7.25,con_tejido,Estratificacion,Con fibra de vidrio,2.0,156.25,5.25,-0.11,Subobturado
I,18,Lingual,ninguna,ninguna,ninguna,ninguna,15.0,limpia,Estratificacion,Fluida,3.25,333.04,40.0,0.17,Sobreobturado
II,1,Distal,Oclusal,Bucal,ninguna,ninguna,59.5,limpia,Estratificacion,Fluida,3.75,457.61,15.69,0.07,Equiobturado
I,11,Lingual,ninguna,ninguna,ninguna,ninguna,3.5,con_tejido,Estratificacion,Compuesta,1.25,60.0,5.51,0.15,Sobreobturado
I,8,Oclusal,ninguna,ninguna,ninguna,ninguna,4.75,con_tejido,Estratificacion,Con fibra de vidrio,1.25,81.88,5.42,0.03,Equiobturado
V,6,Bucal,ninguna,ninguna,ninguna,ninguna,16.25,limpia,Bulk,Compuesta,2.0,189.53,33.36,0.17,Sobreobturado
IV,23,Mesial,Bucal,Lingual,ninguna,ninguna,13.75,con_tejido,Bulk,Con fibra de vidrio,1.25,82.19,12.63,0.06,Equiobturado
I,21,Oclusal,ninguna,ninguna,ninguna,ninguna,6.75,limpia,Bulk,Fluida,2.25,124.0,15.14,0.06,Equiobturado
II,21,Mesial,Oclusal,ninguna,ninguna,ninguna,27.0,con_tejido,Bulk,Con fibra de vidrio,1.5,58.1,6.88,-0.04,Subobturado
V,23,Bucal,ninguna,ninguna,ninguna,ninguna,14.75,con_tejido,Bulk,Bulk,1.75,161.09,14.56,0.02,Equiobturado
II,32,Distal,Oclusal,Bucal,ninguna,ninguna,54.0,con_tejido,Bulk,Fluida,2.25,325.96,41.87,-0.08,Subobturado
V,24,Bucal,ninguna,ninguna,ninguna,ninguna,15.0,con_tejido,Estratificacion,Compuesta,3.0,244.38,20.3,0.04,Equiobturado
V,19,Bucal,ninguna,ninguna,ninguna,ninguna,5.75,limpia,Bulk,Bulk,3.5,242.81,43.07,-0.07,Subobturado
IV,11,Distal,Bucal,Lingual,ninguna,ninguna,49.0,con_tejido,Bulk,Bulk,2.5,290.12,22.53,0.18,Sobreobturado
II,4,Mesial,Oclusal,Bucal,ninguna,ninguna,30.0,con_tejido,Bulk,Compuesta,2.25,155.45,12.45,0.18,Sobreobturado
V,20,Bucal,ninguna,ninguna,ninguna,ninguna,4.0,con_tejido,Bulk,Fluida,3.5,187.5,5.87,-0.06,Subobturado
I,9,Lingual,ninguna,ninguna,ninguna,ninguna,2.25,limpia,Bulk,Con fibra de vidrio,1.5,46.88,6.33,-0.03,Subobturado
II,18,Distal,Oclusal,ninguna,ninguna,ninguna,41.0,con_tejido,Estratificacion,Compuesta,3.25,270.5,26.77,-0.14,Subobturado
II,17,Mesial,Oclusal,ninguna,ninguna,ninguna,46.5,limpia,Estratificacion,Con fibra de vidrio,1.25,168.24,17.54,0.08,Equiobturado
II,13,Distal,Oclusal,Bucal,ninguna,ninguna,43.75,limpia,Estratificacion,Compuesta,2.25,235.75,38.64,0.12,Sobreobturado
III,22,Mesial,Lingual,ninguna,ninguna,ninguna,15.75,con_tejido,Estratificacion,Con fibra de vidrio,1.5,115.44,16.22,-0.08,Subobturado
III,24,Distal,Lingual,ninguna,ninguna,ninguna,8.75,limpia,Estratificacion,Compuesta,2.5,90.69,5.32,-0.11,Subobturado
II,12,Mesial,Oclusal,Bucal,ninguna,ninguna,47.5,limpia,Estratificacion,Bulk,1.75,221.15,32.2,0.1,Equiobturado
I,15,Lingual,ninguna,ninguna,ninguna,ninguna,15.0,con_tejido,Bulk,Con fibra de vidrio,1.75,220.54,23.09,0.01,Equiobturado
II,31,Distal,Oclusal,Bucal,ninguna,ninguna,65.75,limpia,Estratificacion,Con fibra de vidrio,3.5,515.12,38.57,0.2,Sobreobturado
V,17,Bucal,ninguna,ninguna,ninguna,ninguna,10.75,con_tejido,Estratificacion,Bulk,2.0,144.84,7.85,-0.17,Subobturado
I,2,Bucal,ninguna,ninguna,ninguna,ninguna,3.5,limpia,Bulk,Bulk,2.5,153.57,8.17,-0.11,Subobturado
II,14,Distal,Oclusal,Bucal,ninguna,ninguna,52.75,con_tejido,Estratificacion,Compuesta,1.5,329.62,49.21,0.04,Equiobturado
II,1,Distal,Oclusal,Bucal,ninguna,ninguna,41.75,limpia,Bulk,Fluida,2.5,289.15,42.74,0.09,Equiobturado
I,17,Bucal,ninguna,ninguna,ninguna,ninguna,2.75,con_tejido,Bulk,Compuesta,3.5,125.62,13.32,0.01,Equiobturado
I,17,Oclusal,ninguna,ninguna,ninguna,ninguna,5.0,limpia,Estratificacion,Bulk,2.75,138.75,6.62,-0.17,Subobturado
IV,26,Distal,Bucal,Lingual,ninguna,ninguna,30.25,limpia,Bulk,Fluida,2.75,244.48,41.76,-0.13,Subobturado
I,27,Bucal,ninguna,ninguna,ninguna,ninguna,4.75,con_tejido,Bulk,Fluida,1.5,90.62,5.12,0.09,Equiobturado
II,2,Mesial,Distal,Oclusal,Bucal,Lingual,136.0,con_tejido,Estratificacion,Fluida,1.0,982.22,63.67,-0.14,Subobturado
II,20,Distal,Oclusal,ninguna,ninguna,ninguna,29.0,con_tejido,Bulk,Compuesta,3.25,122.45,21.13,-0.02,Subobturado
II,5,Distal,Oclusal,Lingual,ninguna,ninguna,46.0,con_tejido,Estratificacion,Bulk,2.0,230.64,39.44,0.14,Sobreobturado
II,4,Mesial,Oclusal,Lingual,ninguna,ninguna,36.75,con_tejido,Bulk,Compuesta,3.5,286.12,49.15,0.18,Sobreobturado
II,21,Distal,Oclusal,Lingual,ninguna,ninguna,29.75,con_tejido,Bulk,Bulk,2.5,172.24,17.45,0.12,Sobreobturado
V,5,Lingual,ninguna,ninguna,ninguna,ninguna,4.25,limpia,Estratificacion,Compuesta,3.25,173.28,21.31,0.08,Equiobturado
I,2,Lingual,ninguna,ninguna,ninguna,ninguna,12.75,con_tejido,Bulk,Compuesta,3.25,308.93,24.68,-0.19,Subobturado
V,14,Bucal,ninguna,ninguna,ninguna,ninguna,49.5,con_tejido,Estratificacion,Con fibra de vidrio,3.0,333.12,44.74,-0.04,Subobturado
II,2,Distal,Oclusal,ninguna,ninguna,ninguna,57.75,limpia,Bulk,Bulk,3.5,328.25,38.87,-0.04,Subobturado
II,29,Mesial,Distal,Oclusal,ninguna,ninguna,49.75,limpia,Bulk,Compuesta,2.0,252.54,9.76,-0.03,Subobturado
II,5,Distal,Oclusal,Bucal,ninguna,ninguna,40.25,con_tejido,Estratificacion,Bulk,3.5,306.56,32.05,-0.03,Subobturado
II,19,Mesial,Distal,Oclusal,Bucal,ninguna,104.75,con_tejido,Estratificacion,Bulk,2.75,839.0,119.3,0.2,Sobreobturado
I,23,Lingual,ninguna,ninguna,ninguna,ninguna,3.5,limpia,Bulk,Fluida,3.25,130.0,20.54,-0.15,Subobturado
V,17,Bucal,ninguna,ninguna,ninguna,ninguna,10.75,con_tejido,Bulk,Compuesta,3.25,226.09,7.54,-0.12,Subobturado
V,22,Lingual,ninguna,ninguna,ninguna,ninguna,16.25,limpia,Bulk,Con fibra de vidrio,1.5,157.03,23.96,0.13,Sobreobturado
II,1,Mesial,Oclusal,ninguna,ninguna,ninguna,50.5,con_tejido,Bulk,Fluida,3.0,235.75,24.14,0.0,Equiobturado
V,10,Bucal,ninguna,ninguna,ninguna,ninguna,19.75,limpia,Bulk,Fluida,2.0,217.97,15.77,0.1,Equiobturado
V,21,Bucal,ninguna,ninguna,ninguna,ninguna,7.0,con_tejido,Bulk,Compuesta,3.0,179.38,20.85,-0.11,Subobturado
II,12,Mesial,Oclusal,Lingual,ninguna,ninguna,25.25,con_tejido,Estratificacion,Fluida,3.25,200.71,21.43,0.18,Sobreobturado
V,15,Bucal,ninguna,ninguna,ninguna,ninguna,24.75,con_tejido,Estratificacion,Fluida,3.0,257.99,40.46,-0.05,Subobturado
II,17,Mesial,Oclusal,ninguna,ninguna,ninguna,52.25,limpia,Bulk,Con fibra de vidrio,3.25,249.09,18.48,-0.01,Subobturado
VI,26,Incisal,ninguna,ninguna,ninguna,ninguna,20.75,limpia,Estratificacion,Fluida,2.25,183.42,32.75,-0.02,Subobturado
II,28,Mesial,Oclusal,Bucal,ninguna,ninguna,46.75,con_tejido,Estratificacion,Fluida,3.25,326.27,34.56,-0.16,Subobturado
II,20,Mesial,Oclusal,Lingual,ninguna,ninguna,42.5,con_tejido,Bulk,Con fibra de vidrio,2.25,228.45,25.35,0.14,Sobreobturado
V,15,Bucal,ninguna,ninguna,ninguna,ninguna,31.5,limpia,Bulk,Bulk,4.0,363.48,41.3,0.16,Sobreobturado
V,21,Lingual,ninguna,ninguna,ninguna,ninguna,15.75,limpia,Estratificacion,Compuesta,2.75,234.22,34.88,0.06,Equiobturado
III,10,Mesial,Lingual,ninguna,ninguna,ninguna,10.25,limpia,Bulk,Compuesta,3.5,136.06,8.63,0.19,Sobreobturado
III,26,Mesial,Lingual,ninguna,ninguna,ninguna,15.0,con_tejido,Estratificacion,Compuesta,3.0,158.75,15.06,-0.04,Subobturado
IV,9,Distal,Bucal,Lingual,ninguna,ninguna,44.0,limpia,Estratificacion,Bulk,2.5,273.21,27.4,0.12,Sobreobturado
I,16,Lingual,ninguna,ninguna,ninguna,ninguna,4.25,con_tejido,Bulk,Con fibra de vidrio,3.5,151.88,5.68,0.04,Equiobturado
II,20,Mesial,Distal,Oclusal,ninguna,ninguna,36.25,limpia,Bulk,Fluida,1.75,155.45,16.05,-0.04,Subobturado
II,18,Mesial,Oclusal,ninguna,ninguna,ninguna,44.5,limpia,Estratificacion,Con fibra de vidrio,1.75,236.0,19.78,-0.17,Subobturado
I,1,Oclusal,ninguna,ninguna,ninguna,ninguna,6.0,con_tejido,Bulk,Con fibra de vidrio,2.75,156.25,25.82,0.13,Sobreobturado
I,24,Bucal,ninguna,ninguna,ninguna,ninguna,5.75,con_tejido,Estratificacion,Compuesta,2.75,151.88,25.24,-0.17,Subobturado
V,30,Lingual,ninguna,ninguna,ninguna,ninguna,33.25,limpia,Bulk,Fluida,3.75,347.54,60.58,-0.14,Subobturado
IV,23,Distal,Bucal,Lingual,ninguna,ninguna,15.75,con_tejido,Estratificacion,Compuesta,2.5,177.7,28.85,0.07,Equiobturado
VI,6,Incisal,ninguna,ninguna,ninguna,ninguna,21.25,limpia,Bulk,Fluida,1.5,144.57,15.83,-0.03,Subobturado
III,11,Distal,Lingual,ninguna,ninguna,ninguna,14.75,limpia,Estratificacion,Con fibra de vidrio,2.75,148.44,5.59,-0.06,Subobturado
V,12,Bucal,ninguna,ninguna,ninguna,ninguna,11.75,con_tejido,Bulk,Con fibra de vidrio,2.25,169.22,28.45,-0.1,Subobturado
II,3,Mesial,Distal,Oclusal,Lingual,ninguna,91.75,limpia,Estratificacion,Compuesta,3.25,827.0,32.59,-0.01,Subobturado
I,5,Oclusal,ninguna,ninguna,ninguna,ninguna,6.5,con_tejido,Estratificacion,Fluida,1.5,88.0,7.01,0.17,Sobreobturado
II,18,Mesial,Oclusal,ninguna,ninguna,ninguna,44.75,limpia,Bulk,Fluida,4.0,304.25,13.16,0.18,Sobreobturado
